frame,timestamp_ns,raw_z,z_filt,w_px,conf
2420,1783400688628250251,2.440,2.440,79.3,0.843
2425,1783400688795823112,2.456,2.452,78.8,0.837
2430,1783400688974524745,2.383,2.452,81.2,0.829
2435,1783400689138121594,2.429,2.440,79.7,0.839
2440,1783400689295846555,2.443,2.440,79.2,0.840
2445,1783400689464216589,2.399,2.429,80.7,0.847
2450,1783400689628107417,2.343,2.399,82.6,0.849
2455,1783400689795971591,2.338,2.399,82.8,0.847
2460,1783400689965016415,2.371,2.371,81.6,0.851
2465,1783400690139659820,2.262,2.343,85.6,0.839
2470,1783400690306468212,2.276,2.338,85.0,0.838
2475,1783400690463731266,2.329,2.329,83.1,0.855
2480,1783400690628515949,2.115,2.276,91.5,0.826
2485,1783400690795574425,2.346,2.276,82.5,0.840
2490,1783400690975530036,2.414,2.329,80.2,0.844
2495,1783400691128402933,2.387,2.346,81.1,0.840
2500,1783400691295527434,2.391,2.387,80.9,0.847
2505,1783400691464552590,2.411,2.391,80.3,0.840
2510,1783400691628468885,2.399,2.399,80.7,0.838
2515,1783400691795586213,2.437,2.399,79.4,0.826
2520,1783400691964431639,2.209,2.399,87.6,0.833
2525,1783400692128613107,2.390,2.399,81.0,0.824
2530,1783400692296610344,2.353,2.390,82.2,0.796
2535,1783400692463501152,2.300,2.353,84.1,0.810
2540,1783400692628561027,2.173,2.300,89.1,0.801
2545,1783400692796616735,2.068,2.300,93.6,0.806
2550,1783400692975720450,2.396,2.300,80.8,0.791
2555,1783400693128476485,2.167,2.173,89.3,0.800
2560,1783400693296559885,2.336,2.173,82.8,0.830
2565,1783400693464454427,2.367,2.336,81.7,0.829
2570,1783400693628563819,2.407,2.367,80.4,0.845
2575,1783400693796503065,2.300,2.336,84.1,0.834
2580,1783400693971204761,2.354,2.354,82.2,0.832
2585,1783400694127577736,2.308,2.354,83.8,0.844
2590,1783400694296582234,2.212,2.308,87.5,0.825
2595,1783400694459922737,2.264,2.300,85.5,0.821
